year,city_code,city_name,全建築物計_建築物の数_（棟）,全建築物計_床面積の合計_（㎡）,Ａ_居住専用住宅_建築物の数_（棟）,Ａ_居住専用住宅_床面積の合計_（㎡）,Ｂ_居住専用準住宅_建築物の数_（棟）,Ｂ_居住専用準住宅_床面積の合計_（㎡）,Ｃ_居住産業併用建築物_建築物の数_（棟）,Ｃ_居住産業併用建築物_床面積の合計_（㎡）,Ｄ_農林水産業用建築物_建築物の数_（棟）,Ｄ_農林水産業用建築物_床面積の合計_（㎡）,E_鉱業，採石業，砂利採取業，建設業用建築物_建築物の数_（棟）,E_鉱業，採石業，砂利採取業，建設業用建築物_床面積の合計_（㎡）,Ｆ_製造業用建築物_建築物の数_（棟）,Ｆ_製造業用建築物_床面積の合計_（㎡）,G_電気・ガス・熱供給_・水道業用建築物_建築物の数_（棟）,G_電気・ガス・熱供給_・水道業用建築物_床面積の合計_（㎡）,Ｈ_情報通信業用建築物_建築物の数_（棟）,Ｈ_情報通信業用建築物_床面積の合計_（㎡）,Ｉ_運輸業用建築物_建築物の数_（棟）,Ｉ_運輸業用建築物_床面積の合計_（㎡）,J_卸売業，小売業用建築物_建築物の数_（棟）,J_卸売業，小売業用建築物_床面積の合計_（㎡）,Ｋ_金融業，保険業用建築物_建築物の数_（棟）,Ｋ_金融業，保険業用建築物_床面積の合計_（㎡）,Ｌ_不動産業用建築物_建築物の数_（棟）,Ｌ_不動産業用建築物_床面積の合計_（㎡）,Ｍ_宿泊業，飲食サービス業用建築物_建築物の数_（棟）,Ｍ_宿泊業，飲食サービス業用建築物_床面積の合計_（㎡）,Ｎ_教育，学習支援業用建築物_建築物の数_（棟）,Ｎ_教育，学習支援業用建築物_床面積の合計_（㎡）,Ｏ_医療，福祉用建築物_建築物の数_（棟）,Ｏ_医療，福祉用建築物_床面積の合計_（㎡）,Ｐ_その他のサービス業用建築物_建築物の数_（棟）,Ｐ_その他のサービス業用建築物_床面積の合計_（㎡）,Ｑ_公務用建築物_建築物の数_（棟）,Ｑ_公務用建築物_床面積の合計_（㎡）,Ｒ_他に分類されない建築物_建築物の数_（棟）,Ｒ_他に分類されない建築物_床面積の合計_（㎡）,pop_population,pop_households,pop_change,pop_growth_rate,pop_natural_change,pop_social_change
2021,01223,根室市,76.0,19505.0,61.0,8153.0,1.0,407.0,1.0,143.0,6.0,7915.0,0.0,0.0,0.0,0.0,3.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,638.0,1.0,210.0,1.0,91.0,1.0,916.0,0.0,0.0,24858.0,12469.0,-599.0,-2.3529873905016303,-268.0,-331.0
2021,01224,千歳市,535.0,114559.0,466.0,82972.0,0.0,0.0,2.0,491.0,3.0,181.0,5.0,2976.0,7.0,2916.0,0.0,0.0,1.0,43.0,3.0,487.0,4.0,509.0,0.0,0.0,0.0,0.0,6.0,1616.0,1.0,856.0,2.0,925.0,15.0,7646.0,13.0,12400.0,7.0,541.0,97942.0,50810.0,390.0,0.3997867803837953,-193.0,583.0
2021,01225,滝川市,126.0,25290.0,99.0,13592.0,2.0,632.0,0.0,0.0,1.0,166.0,4.0,600.0,2.0,5164.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,1790.0,2.0,667.0,0.0,0.0,3.0,285.0,1.0,1999.0,0.0,0.0,8.0,379.0,0.0,0.0,0.0,0.0,39264.0,21271.0,-597.0,-1.4977045232181831,-363.0,-234.0
2021,01226,砂川市,70.0,8712.0,58.0,6781.0,1.0,39.0,0.0,0.0,0.0,0.0,3.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,280.0,2.0,54.0,0.0,0.0,16505.0,8778.0,-343.0,-2.035849952516619,-227.0,-116.0
2021,01227,歌志内市,2.0,136.0,2.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019.0,1788.0,-111.0,-3.546325878594249,-61.0,-50.0
2021,01228,深川市,78.0,23811.0,57.0,6759.0,0.0,0.0,0.0,0.0,1.0,199.0,0.0,0.0,2.0,7848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,742.0,16.0,8263.0,0.0,0.0,20085.0,10798.0,-337.0,-1.6501811771618844,-263.0,-74.0
2021,01229,富良野市,83.0,127653.0,70.0,10798.0,0.0,0.0,0.0,0.0,5.0,113620.0,0.0,0.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,580.0,0.0,0.0,0.0,0.0,1.0,2054.0,3.0,484.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,21071.0,10688.0,-522.0,-2.417450099569305,-152.0,-370.0
2021,01230,登別市,141.0,23924.0,124.0,14095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,795.0,2.0,211.0,0.0,0.0,4.0,538.0,1.0,31.0,0.0,0.0,0.0,0.0,1.0,380.0,0.0,0.0,1.0,990.0,0.0,0.0,5.0,5290.0,2.0,1594.0,46833.0,24487.0,-775.0,-1.6278776676188875,-370.0,-405.0
2021,01231,恵庭市,387.0,103188.0,345.0,42994.0,1.0,150.0,1.0,158.0,1.0,792.0,1.0,90.0,19.0,26168.0,0.0,0.0,0.0,0.0,4.0,24483.0,3.0,2668.0,0.0,0.0,0.0,0.0,3.0,3860.0,0.0,0.0,3.0,801.0,3.0,468.0,2.0,175.0,1.0,381.0,70097.0,34136.0,48.0,0.068523462147925,-247.0,295.0
2021,01233,伊達市,105.0,16001.0,99.0,11737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,0.0,0.0,1.0,3780.0,2.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,1.0,82.0,0.0,0.0,33406.0,17818.0,-490.0,-1.4455983006844464,-350.0,-140.0
